DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3571343,CHR TRUCKING LLC,FL,LEE,Normal,,1,1,15000
3571468,VILLAGE MOVING SERVICES LLC,FL,PALM BEACH,Normal,,1,1,15000
3572010,JAMEC LOGISTICS LLC,FL,POLK,Normal,,1,1,15000
3572350,G & M QUALITY LOGISTICS LLC,FL,BROWARD,Normal,,1,1,15000
3572704,NAPAL TRANSPORT LLC,FL,PALM BEACH,Normal,,1,1,15000
3572936,SMITH TRUCKING & FREIGHT LLC,GA,LOWNDES,Normal,,1,1,15000
3573063,SUPERSTAR TRUCKING GROUP LLC,FL,MIAMI-DADE,High Risk,,1,1,17500
3573077,TALON CONSTRUCTION INC,FL,LEE,Normal,,1,1,15000
3573294,GREAT ISLAND LOGISTICS LLC,FL,ORANGE,Normal,,1,1,15000
3573623,ECY TRUCKING CORP,FL,HILLSBOROUGH,Normal,,1,1,15000
3574386,NEW FUTURE MOVING AND STORAGE LLC,FL,MIAMI-DADE,High Risk,,1,1,17500
3575369,HARGRETT SHIPPING LLC,FL,MIAMI-DADE,High Risk,,1,1,17500
